附表3:系统功能点计数表,,,,,,,,,,,,,
序号,子系统,一级功能模块,功能模块名称,事务事项编号及名称,功能名称,数据类型,是否计算,,调整复用度后的分值,复用度,,是否实现,
67,,,,,平台FTP设置,EI,4,1,1.33 ,1,,否,数据安全
68,,,数据管理,,新增数据源,EI,4,1,1.33 ,1,,否,数据安全
69,,,,,删除数据源,EI,4,1,1.33 ,1,,否,数据安全
70,,,,,数据源配置,EI,4,1,1.33 ,1,,否,数据安全
71,,,,,数据源列表,EQ,4,1,1.33 ,1,,否,数据安全
72,,,,,新增数据集,EI,4,1,1.33 ,1,,否,数据安全
73,,,,,删除数据集,EI,4,1,1.33 ,1,,否,数据安全
74,,,,,数据集配置,EI,4,1,1.33 ,1,,否,数据安全
75,,,,,数据集列表,EQ,4,1,1.33 ,1,,否,数据安全
76,,,,,新增数据需求,EI,4,1,1.33 ,1,,否,数据安全
77,,,,,删除数据需求,EI,4,1,1.33 ,1,,否,数据安全
78,,,,,数据需求配置,EI,4,1,1.33 ,1,,否,数据安全
79,,,,,数据需求列表,EQ,4,1,1.33 ,1,,否,数据安全
80,,,,,匹配数据需求所需数据,ILF,10,1,3.33 ,1,,否,数据安全
81,,,,,新增共享数据集,EI,4,1,1.33 ,1,,否,数据安全
82,,,,,删除共享数据集,EI,4,1,1.33 ,1,,否,数据安全
83,,,,,共享数据集列表,EO,5,1,1.67 ,1,,否,数据安全
84,,,接口管理,,新增接口,EI,4,1,1.33 ,1,,否,数据安全
85,,,,,删除接口,EI,4,1,1.33 ,1,,否,数据安全
86,,,,,接口列表,EQ,4,1,1.33 ,1,,否,数据安全
87,,,,,接口授权配置,EI,4,1,1.33 ,1,,否,数据安全
88,,,,,接口授权校验,ILF,10,1,3.33 ,1,,否,数据安全
89,,,,,接口日志记录,EQ,4,1,1.33 ,1,,否,数据安全
90,,,联邦查询功能,,基于密钥交换DH算法的批量联邦查询,EQ,4,1,1.33 ,1,,否,数据安全
91,,,,,基于不经意传输OT算法的批量联邦查询,EQ,4,1,1.33 ,1,,否,数据安全
92,,,,,基于全同态加密HE算法的批量联邦查询,EQ,4,1,1.33 ,1,,否,数据安全
93,,,,,基于密钥交换DH算法的实时联邦查询,EQ,4,1,1.33 ,1,,否,数据安全
94,,,,,基于不经意传输OT算法的实时联邦查询,EQ,4,1,1.33 ,1,,否,数据安全
95,,,,,基于全同态加密HE算法的实时联邦查询,EQ,4,1,1.33 ,1,,否,数据安全
96,,,,,基于密钥交换DH算法的批量联邦求交,EI,4,1,1.33 ,1,,否,数据安全
97,,,,,基于不经意传输OT算法的批量联邦求交,EI,4,1,1.33 ,1,,否,数据安全
98,,,,,基于全同态加密HE算法的批量联邦求交,EI,4,1,1.33 ,1,,否,数据安全
99,,,,,基于密钥交换DH算法的实时联邦求交,EI,4,1,1.33 ,1,,否,数据安全
100,,,,,基于不经意传输OT算法的实时联邦求交,EI,4,1,1.33 ,1,,否,数据安全
101,,,,,基于全同态加密HE算法的实时联邦求交,EI,4,1,1.33 ,1,,否,数据安全
102,,,,,联邦求交去除重复数据,ILF,10,1,3.33 ,1,,否,数据安全
103,,,,,联邦求交多列联合ID,ILF,10,1,3.33 ,1,,否,数据安全
104,,,,,联邦求交日志记录,EI,4,1,1.33 ,1,,否,数据安全
